"","siteID","siteuse","replsite","lon_WGS84","lat_WGS84","stratum","wgt","ip","caty","Name","Description","geometry"
"1","Site-1","Base","None",-82.6210962163413,27.7801864116839,"None",410797.101739302,2.43429176049692e-06,"None","North Shore Flat","",c(455337.716929813, 1253297.44870559)
"2","Site-2","Base","None",-82.6190834866265,27.7812320207579,"None",410797.101739302,2.43429176049692e-06,"None","North Shore Flat","",c(455990.453902534, 1253674.3065725)
"3","Site-3","Base","None",-82.615052078641,27.7822865993112,"None",410797.101739302,2.43429176049692e-06,"None","North Shore Flat","",c(457295.927847976, 1254051.16443941)
"4","Site-4","Base","None",-82.6147243817808,27.7838429257827,"None",410797.101739302,2.43429176049692e-06,"None","North Shore Flat","",c(457404.71734343, 1254616.45123978)
"5","Site-5","Base","None",-82.6221025666121,27.7796635963307,"None",410797.101739302,2.43429176049692e-06,"None","North Shore Flat","",c(455011.348443453, 1253109.01977213)
"6","Site-6","Base","None",-82.616064319121,27.7828003802807,"None",410797.101739302,2.43429176049692e-06,"None","North Shore Flat","",c(456969.559361616, 1254239.59337287)
